"Война и мир",
"Преступление и наказание",
"Мастер и Маргарита",
"Анна Каренина",
"Мертвые души",
"Братья Карамазовы",
"Евгений Онегин",
"Доктор Живаго",
"Идиот",
"Отцы и дети",
"А зори здесь тихие",
"Собачье сердце",
"Тихий Дон",
"Алые паруса",
"Собор Парижской Богоматери",
"Капитанская дочка",
"Крутой маршрут",
"Пиковая дама",
"Вий",
"Три мушкетера",
"Палата № 6",
"Ревизор",
"Белая гвардия",
"Тонкая грань",
"Странное дело",
"Заводной апельсин",
"Обломов",
"Черный обелиск",
"Бесы",
"Герой нашего времени",
